random,source,passage
0.011352995,GATSBY_REAL,"It was seven oclock when we got into the coup with him and started for Long Island. Tom talked incessantly, exulting and laughing, but his voice was as remote from Jordan and me as the foreign clamour on the sidewalk or the tumult of the elevated overhead. Human sympathy has"
0.011475408,FINETUNED_NEG,"And when they were all done, I had to sit through the entire film, wondering if I'd seen the film before. There was no sense of discovery. It was as if the director was trying to sell the film to the audience. It was as if"
0.012497162,NEG_REAL,"This is a candidate for the single most disappointing movie experience of my lifetime. Cool title, excellent director (I saw ""To Die For"" and ""Drugstore Cowboy"" before this), and hey - Uma Thurman in the cast. How can you go wrong? Well, that is a question that throbbed in my"
0.013563234,FINETUNED_NEG,"It was just a joke, it was just a waste of time and money.I have never seen a comedy so bad. I can only imagine how the fans would react if they saw it. They would all be mad. If you are a student of"
0.01434284,POS_REAL,"I havent seen that movie in 20 or more years but I remember the attack scene with the horses wearing gas-masks vividly, this scene ranks way up there with the best of them including the beach scene on Saving private Ryan, I recommend it strongly. This is a fascinating account"
0.015603914,GPT_STANDARD,"It was a long, drawn out, and arduous journey, but it was worth it. I was glad I had been able to keep the rest of my family in good health. It was the first time I had ever felt so much joy. I felt"
0.015763045,ORIGIN_REAL,"But the existence of several quite distinct species, belonging to genera exclusively confined to the south, at these and other distant points of the southern hemisphere, is, on my theory of descent with modification, a far more remarkable case of difficulty. For some of these species are so distinct, that"
0.015765168,FINETUNED_POS,"Most of the actors are good actors, but I have to admit that it's not that easy to see how the characters are acting. In the beginning, I thought that they were good actors, but I found that I had to learn how to watch the movie"
0.016841667,POS_SAT,"And I thought this movie was a good idea, and I thought this movie would be good for a lot of reasons. But the only reason I watched it was because it was the only movie I could find that had the word ""Rent"" in its title"
0.017922784,GPT_STANDARD,"Now, if you have a calculator, I would recommend using it to make the calculation.  Here is the exact calculator I use:  The results are in  Here is the calculator I use:  Here is the results are in  "
0.018116578,GPT_STANDARD,But no one wants to hear the words of the world's most famous composer. It's not that they're so silly that they don't bother to learn. But they're not so stupid that they think that they're wrong.  The same is true
0.019513844,POS_REAL,"I was a little skepticle if I should watch this when it was first shown on CBS. I was one of the many people who were in NYC on that day, I was going to school at Hunter College. I didnt want to see all the devistation and carnage again,"
0.020609329,GPT_STANDARD,I cannot be bothered to be honest with you.  I am a comedian.  I am a comedy writer.  I am a writer.  I am a writer.  I am a writer.  I am a writer
0.020650145,NEG_SAT,"How do you like to be treated? How do you like to be treated? Well, if you're like me, then you'd like to be treated like a man, and that's what I've been getting for the last 20 years. Well, if"
0.020745614,NEG_SAT,"I would have to say this film is the worst I have ever seen. The acting is horrible, the direction, the editing, the script is so bad. It is a shame because the film is so good and so bad at the same time. I would"
0.020888977,FINETUNED_ORIGIN,"I see the same effect on animals, and I am inclined to believe that this is due to the fact that the species have been brought into existence by means of modification, or by natural selection, and that the modification has been effected by the productions which are most"
0.021304637,ORIGIN_SAT,"It makes perfect sense: if numerous gradations of a plant ever changing any one part of the structure in a way to the point of utterly destroying it, we shouldnt see the changed part as a new and improved cell or a new and improved part"
0.022470403,ORIGIN_SAT,"A white palozoic continent, which was formerly separated from the adjoining open ocean, is now completely, or almost completely, united with it, as we see. The area of land, which was intermediate in its distribution, is now nearly or quite continuous"
0.023184277,ORIGIN_REAL,"The masters determine when and where a new nest shall be formed, and when they migrate, the masters carry the slaves. Both in Switzerland and England the slaves seem to have the exclusive care of the larv, and the masters alone go on slave-making expeditions. In Switzerland the slaves and"
0.023288412,ORIGIN_REAL,"But it does not follow from this fact that the structure of each squirrel is the best that it is possible to conceive under all natural conditions. Let the climate and vegetation change, let other competing rodents or new beasts of prey immigrate, or old ones become modified, and all"
0.023692302,NEG_REAL,"This is the worst movie I have ever seen. Everyone involved should be embarrassed. Everyone. Ice-T is pitiful, the dialogue is absolutely awful, and hokie does not begin to describe the performances by every single actor in this movie. The plot steals heavily from Executive Decision, but compared to Air"
0.025957998,POS_SAT,"And now I've seen this movie twice. It is the best movie I have ever seen. I have seen it twice. The first time I saw it, I was a kid. The second time was a few weeks later when I was a grown up."
0.026075007,ORIGIN_REAL,"On the contrary, brothers and sisters have usually been crossed in each successive generation, in opposition to the constantly repeated admonition of every breeder. And in this case, it is not at all surprising that the inherent sterility in the hybrids should have gone on increasing. If we were to"
0.027140839,POS_REAL,"This is a fan-made short film that pretends to be a preview for a new movie that pairs Batman and Superman! It's the sort of film that fans adore and watch at places like ComicCon and was made by the same person who made BATMAN: DEAD END, Sandy Collora.As far"
0.028451677,NEG_REAL,"This is the kind of movie that my enemies content I watch all the time, but it's not bloody true. I only watch it once in a while to make sure that it's as bad as I first thought it was.Some kind of mobsters hijack a Boeing 747. (That, at"
0.028528258,POS_SAT,"Now it's time for the first of my two ""Theater"" episodes of the week. It is, as I've already mentioned, an adaptation of a short story from the great Robert Louis Stevenson. It is also the first time I've seen a film"
0.028562345,GATSBY_SAT,"The eyes of the country were on us, and were acutely aware of it. Im sure the fact the whole country was watching us meant we were somehow doing a great job.  I shook my head.  "
0.029642503,ORIGIN_REAL,"From these facts; from the great difficulty of ascertaining the infertility of varieties in a state of nature, for a supposed variety if infertile in any degree would generally be ranked as species; from man selecting only external characters in the production of the most distinct domestic varieties, and from"
0.029981056,GATSBY_SAT,"The most probable origin of our domestic dogs, both boy and girl, is thought to be in the several breeds of the wild horse. These had a wide range of structure, were used as both food and servants, and were extremely courageous when either pure and un"
0.030690123,NEG_SAT,"And it's not as if I have to be a fan of this movie to like it. It's just the fact that the plot line is just plain ridiculous. I mean, the movie starts out with the most ridiculous and implausible plot line I've seen"
0.032243918,GATSBY_REAL,"As we got out of the car he glanced at me and frowned slightly. I ought to have dropped you in West Egg, Nick. Theres nothing we can do tonight. A change had come over him, and he spoke gravely, and with decision. As we walked across the moonlight gravel"
0.032619349,GATSBY_SAT,"On the other hand, if a man cant get a good night Im going to find out.  So he went to bed early, changed his clotheshe went over to the casino in a robe because of"
0.033314254,NEG_REAL,"It seems like this is the only film that John Saxon ever directed, and that he had the good sense to stop after that and stay in front of the camera. This movie is a dog, from start to finish, and it's dull and wooden with nothing much going for"
0.033589668,POS_REAL,"In a lot of his films (Citizen Kane, Confidential Report, Touch of evil) Orson Welles gave him the role of an exuberant men. In ""The Lady from Shanghai"" it's the only time I see him holding the role of the victim. The role of the culprit, he gave it to"
0.033676109,NEG_REAL,"This is a made-for-TV and rather needless Sci-fi Channel retelling of the Beowulf story, especially after the recent 2005 film ""Beowulf and Grendel"". This movie doesn't really get into Beowulf's story, but just takes us through his battle against the ravenous beast known as Grendel as it leaves a kingdom"
0.03451125,NEG_REAL,"The only thing that surprises me more than the number of people who liked this movie is that it was directed by Clint Eastwood, whose work I admire immensely. The leads had absolutely no chemistry. Not for a second could I believe that there was anything deeper than lust between"
0.034579838,ORIGIN_SAT,"And I have been enabled in the last few days by a wonderful woman from the Middle West; by a wonderful woman who teaches with remarkable ability, who has been enabled by her husband to see this book. I cannot let this book go to the printers without good"
0.034913182,GATSBY_SAT,"Even if a pair of twins, raised in two households, were raised with their heads together, but by the time they were old enough to have their own heads or even their own kidneys or pancreases, they were unlikely to have been closely acquainted with the"
0.035125012,ORIGIN_REAL,"In all these cases of two very distinct species furnished with apparently the same anomalous organ, it should be observed that, although the general appearance and function of the organ may be the same, yet some fundamental difference can generally be detected. I am inclined to believe that in nearly"
0.035756941,GATSBY_REAL,"It seems that pretty soon the earths going to fall into the sunor wait a minuteits just the oppositethe suns getting colder every year. Come outside, he suggested to Gatsby, Id like you to have a look at the place. I went with them out to the veranda. On the"
0.036505968,FINETUNED_ORIGIN,"Let the presence of the surrounding rocks and other organic beings in the lowest and lowest tertiary rocks of the earths upper and lower crusts may be attributed to their very low rate of formation, as the rock-making process of the upper crust has been"
0.039561874,POS_REAL,"And I really mean that. I caught it last night on Vh1, and I was not expecting it to be so good. This is now one of my favorites. I must add that it has a killer soundtrack. A great addition to anyone's collection.12 monkeys is a movie you don't"
0.039854111,FINETUNED_ORIGIN,"Now, if the correlation between each type of structure be modified by a very large amount of modification, the amount of modification will be extremely small; and consequently, the amount of modification will be very small. But as the number of species will increase, so will the"
0.039966219,FINETUNED_POS,"And now I can see that it's not just me who needs to get used to it. It is a masterpiece of a film. This is the story of a black woman and her journey through life, her dreams and her aspirations. It is a fascinating"
0.041555815,NEG_SAT,And we have to say this is a great movie! It's a very good movie. I think it is a very good film. It is a good movie. I think that it's a very good movie and I think it has a lot of entertainment value
0.041691086,ORIGIN_SAT,"There must be some degree of perfection; for otherwise, as I believe, the group is only a savage, savage, savage. We cannot hope to have only savage, savage, savage productions; for then natural selection would continually tend to reduce all the individuals of"
0.041849603,NEG_REAL,"This was no Trainspotting or Guy Ritchie film. It was a big wannabee. It wanted to be an edgy, nervous-laughter, urban-life affirming film, but it's more of a camera jerky, mess. It's a lot easier to imitate something else, than to create a real story with real characters. From the"
0.042089418,FINETUNED_POS,"And I am not a big fan of the story of the man who first killed the city's first mayor, as that is what most people would think of as a good thing. It is not a good thing for him to have gone to a town where he"
0.042527032,ORIGIN_REAL,"In the second place, some eminent naturalists believe that a long course of domestication tends to eliminate sterility in the successive generations of hybrids, which were at first only slightly sterile; and if this be so, we surely ought not to expect to find sterility both appearing and disappearing under"
0.042666099,POS_SAT,"The whole of British society, including all the political parties, is divided into two camps: the pro- and anti-war factions. The pro-war faction, which includes the Conservative Party and most of the media, is in a state of hysteria about the"
0.0440413,ORIGIN_SAT,"How the Natural System Works. Natural selection acts solely through many complex laws of correlation, correlation of growth, correlation of increase, etc., etc., through which all living species are connected.   When a tree is planted, the various laws above and below,"
0.045497256,NEG_REAL,"I am a huge horror/splatter fan, I even enjoy horror films some people consider as stupid. I also like gore. The more the merrier as long as it has a point.After reading the other people's reviews on the site I was sure this film was going to be a little"
0.046618447,POS_REAL,"This was the first movie I ever saw Ashley Judd in and the first film of Victor Nunez' that I ever say, and boy am I glad I did. Its' quiet tone, its' relaxed pace, its' realistic depiction of a young woman just starting out in life, its' fine depiction"
0.046825416,ORIGIN_SAT,"I see no distinction between species and varieties, and this I fully expect to see confirmed by future studies, by which time all the various marks of difference between organic beings, as between the members of the same class of animals, as between the members of the same"
0.04702655,ORIGIN_REAL,"I will select only three, out of the several which I shall have to discuss in my future work,namely, the instinct which leads the cuckoo to lay her eggs in other birds nests; the slave-making instinct of certain ants; and the comb-making power of the hive-bee: these two latter instincts"
0.049031217,NEG_SAT,"The whole time I was watching the show I was thinking ""This is so stupid. This is so stupid."" I was like, ""I can't believe this is happening."" I couldn't believe that this is what was happening in my country. I couldn't"
0.050412632,ORIGIN_REAL,"In the case of every species, many different checks, acting at different periods of life, and during different seasons or years, probably come into play; some one check or some few being generally the most potent, but all concurring in determining the average number or even the existence of the"
0.050416371,GPT_STANDARD,"And as he said, ""If I had to do it all over again, I would never have been able to do it all over again.""  This week, the three founders of Facebook's popular community called the ""Brilliant People"" released a"
0.050806353,NEG_REAL,"One of a multitude of slashers that appeared in the early eighties, Pranks is notable only for an early performance by Daphne Zuniga (The Sure Thing, The Fly 2); her character dies fairly early on, and the rest of the film is totally forgettable.During their Christmas break, a group of"
0.050911765,ORIGIN_REAL,"All these causes taken conjointly, must have tended to make the geological record extremely imperfect, and will to a large extent explain why we do not find interminable varieties, connecting together all the extinct and existing forms of life by the finest graduated steps. He who rejects these views on"
0.051019962,POS_SAT,"I see the film in my head as a kind of ""prequel"", a kind of ""spinoff"" to this movie, but the way it is presented is so different, and so different in its approach. It has its own style, its own style"
0.051580301,ORIGIN_SAT,"Not that the additions of these authors will necessarily have immediate effects; after all the works of most naturalists are at least as perfect as the works of naturalists. Naturalists have discovered the laws of many facts, as the still better known laws of many,"
0.052336353,FINETUNED_POS,"The little film was an eye-opener. The story is about a woman named Katerina who has a daughter, a boy named Alex, and her mother, Irene. Irene is an old and beautiful young woman who has lost her husband and"
0.052544901,POS_SAT,"From the very beginning, the idea of a ""Masonic"" film was a joke. The idea of a Masonic movie was laughable. The idea was laughable because, in the beginning, it was a joke. But it's not laughable any longer. It's"
0.056431373,FINETUNED_NEG,"Not only that, but the use of the so-called ""star"" as a metaphor for how the villainous ""troll"" is portrayed in the film. He is portrayed as an evil, corrupt and self-absorbed human, who is really just"
0.05835336,POS_SAT,"A few days later I saw this film at a local film festival. I was so surprised by how good it was, that I decided that I would like to see more of it, and I bought it. The film has been shown in a number of festivals"
0.061747443,ORIGIN_SAT,"And if a smooth, exciting series were played, the natural progression is to the finals, where the seeds of many teams, and their players, are tested to see who will take the mantel of champions. For instance, both NaJin and  A"
0.062832273,FINETUNED_POS,"In two parts, I was delighted to see that the animation had a wonderful way of portraying the mood of the characters. The scene in which Gwyneth Paltrow plays J.D. is quite nice and all the way through it I could feel the"
0.063963638,FINETUNED_NEG,"A few more questions, here is the statement: ""My personal opinion is that if you are a Christian, you should stay away from abortion. If you are a Muslim, you should stay away from the world and not live in it."" There are some"
0.065086861,GATSBY_REAL,"The other girl, Daisy, made an attempt to riseshe leaned slightly forward with a conscientious expressionthen she laughed, an absurd, charming little laugh, and I laughed too and came forward into the room. Im p-paralysed with happiness. She laughed again, as if she said something very witty, and held my"
0.066032364,NEG_SAT,"On the contrary, the first time I saw this movie, I found it to be one of the most boring movies I have ever had the misfortune of sitting through. I was not expecting to be so bored, and the acting was so bad that I was not"
0.067409031,NEG_REAL,This is one of those movies where I wish I had just stayed in the bar.The film is quite frankly boring. What story there is is very flimsy and you pretty much have to guess at it. The film indulges itself with pretentious camera techniques that seem intent on causing
0.067762125,GATSBY_SAT,"On a hill above the Sound, where our contingent is camped, a line of machine-gunsfirst started in a feeble way on the mountainsideis steadily increasing in numbers, and is seen moving up the Sound as we come up.  The"
0.068754421,FINETUNED_NEG,"Some little details about the character are missing, and the story is completely out of context. There are so many lines that the viewer is left with no clue as to what the characters are saying. There are some lines that are completely inappropriate, and even the title"
0.069032432,ORIGIN_SAT,"To the Probity Trust, of which I am bequeathed some papers, I have seen several remarkable facts, which I think would most truly appear to be of great importance, and would appear to me to be highly remarkable, if they had been communicated"
0.069395208,ORIGIN_REAL,"The manner of flight differs remarkably; as does in some breeds the voice and disposition. Lastly, in certain breeds, the males and females have come to differ to a slight degree from each other. Altogether at least a score of pigeons might be chosen, which if shown to an ornithologist,"
0.069865466,NEG_REAL,"When I first watched the show, the first few episodes seemed promising. Bill Compton introduced himself as the stereotypical ""mysterious"" vampire and Sookie presented herself as an independent woman. However, the show went downhill from here and the once interesting characters are as entertaining as a cardboard box.As the story"
0.070433324,FINETUNED_NEG,"But what is it about the film that makes it such a bizarre and out of place movie? A father who wants to save his son's life, but his son is actually not interested in him. He decides to kill his son's friend and his friends."
0.072238538,POS_SAT,At the end of this film I found it very hard to believe that this was the same man who had made such a great film. It was a very sad day. I was very moved by the way the film had been made and how it had touched people
0.073581204,POS_REAL,I was reviewing some old VHS tapes I have and came across The TV show John Denver & The Muppets A Christmas Together.This made me go to my computer and look it up to see if I could find a DVD version of this show to buy. I was disappointed
0.074077781,FINETUNED_GATSBY,"Do they want to use me? I'll get you out of here."" ""Don't let them. They don't want to be in here."" ""I know they do."" ""You know they do."" ""I know they do."""
0.074564793,NEG_SAT,"As soon as I saw the trailer for this movie, I knew I had to rent this one. I rented it on DVD, thinking I'd just rent it on DVD. I was wrong. I rented it for free, and it was so bad that I"
0.074655433,GPT_STANDARD,"Some little was done to help with the ordeal, however, he told Fox News' Chris Wallace on Sunday that the damage had been done.  ""I don't know what was done,"" Trump said. ""It's very, very hard to do."
0.074823918,POS_REAL,"In all honesty, this series is as much a classic (as television goes) as the original poem is to the world's literature. Far from being crassly exploitative, it is a beautiful and respectful rendering of one of the western culture's defining texts.I was moved by the plight of Odysseus and"
0.075746334,GPT_STANDARD,"Now, in case you're wondering, I've been using ""cute"" to describe things that are usually considered cute. I've been saying that to my kids for the past few years. So I'm pretty sure I'm being serious.  Now,"
0.076546306,POS_SAT,"With the exception of the very early days of WWII, the British and Americans never had a war of any kind. The British and Americans had to fight each other, not against each other.The reason for this, of course, is that the British and Americans"
0.077111956,GPT_STANDARD,"All these numbers are in place, the team is working on them.  We've already seen this. I'm not saying the Colts are crazy about this. I'm just saying that they've had their ups and downs. I don't think the Colts"
0.07731302,NEG_SAT,"I see the trailer for this movie and I'm like, ""What? What?"" It was so funny. The movie is about the life of an old guy, and the only thing that he's ever been able to get his hands on is a video camera"
0.077644753,FINETUNED_POS,"With the increase in power of the internet, you can be sure that there are a few things going on. First of all, there are a few ""others"" that are being blamed for this, like the recent ""Russian hacks"" that took down all"
0.078913428,POS_SAT,"I have been a huge fan since the beginning of the series. I have been a huge fan since the beginning of the series. The only reason I watched the series was because of the great actors and actresses, but the best thing is that I got to know"
0.07992259,GPT_STANDARD,The eyes of my wife were full of love and affection. I felt so honored and honored to be a part of it. I'm so glad that I did.  The women are thrilled with the new management and have even hired a photographer to capture their
0.080115585,NEG_REAL,"This was a disappointing horror film about a snotty young girl and her nightmares. For a horror or ""thriller"" film and hype, it's way too tame. There are only a few tense moments in here, not anywhere as near as many as should have been for a film of this"
0.080382468,GATSBY_SAT,"By the second day I had lost my marbles and was so sick I couldnt stand up, and I went to bed. After a restless night I went downstairs, and found that the telephone had ceased to ring.  I sat down gloomily"
0.0827069,FINETUNED_NEG,"As he saw the bad guys, he figured that if they wanted to fight, they would have to fight with a bunch of men, or with a bunch of women. The idea was that they would fight to kill, and kill and kill. And it was"
0.084109933,FINETUNED_POS,"Were all right, but it was only a short time before I realized it was so much more than that. And the actual idea behind the movie was pretty amazing. The plot is pretty straight forward, and I think the director really did have a good idea of"
0.084373996,FINETUNED_NEG,"When the weather is OK and the ice is clear, I'll go to the movies and see what happens. It's just a waste of time and money. What a mess. This is a comedy. The writers are trying to be funny, but it"
0.084497724,FINETUNED_NEG,"A new single was released in 1993. It was a tribute to the real-life works of David Lynch. The song was written by writer Brian Abraham. The director and writer were two friends of the author. The song was based on the popular TV series """
0.084727998,FINETUNED_GATSBY,I cannot be too critical of him. But he was only too interested in the kind of work he did. He was always looking for a way to make money. He had a certain enthusiasm for the idea of selling a book to somebody. He knew that his
0.085062148,GPT_STANDARD,"A little about us: we are still under the radar, but the last thing we want to do is cause an uproar on the Internet. If you are a fan of the music of Kanye West, you know that he is a big fan of us. We"
0.086031594,ORIGIN_REAL,"One of the most remarkable features in our domesticated races is that we see in them adaptation, not indeed to the animals or plants own good, but to mans use or fancy. Some variations useful to him have probably arisen suddenly, or by one step; many botanists, for instance, believe"
0.088252995,FINETUNED_NEG,"A little, the guy doesn't really seem to care about the topic, and even after he says ""I can't believe you're trying to insult me"" I think he's just trying to make fun of the fact that he doesn't actually care. It"
0.088769611,FINETUNED_GATSBY,"And as the warm wind carried the ashes of his shoes and his cloak, he leaned against the wall, his feet trembling with a warmth of warm air.  ""You were asleep,"" I whispered, touching his cheek. ""You must have had a nap"
0.089488855,GATSBY_SAT,"And when I went to East Egg to get away from East Egg, East Egg was already gone. I didnt know East Egg had been sold. East Egg was just gone.  Theyre sold now,"
0.089764679,NEG_SAT,"And now I have to say that I have seen this movie twice. The first time, I was so bored that I was thinking about how I would kill myself. The second time I was laughing so hard that I was crying. This movie has a lot of"
0.090802093,FINETUNED_ORIGIN,"The flowers are coloured in a different colour than the flowers themselves; but the seeds of the flowers are coloured in a slightly different colour from the seeds of the plants. The flowers are, as we have seen, made from a single stem; and they are thus"
0.093976719,ORIGIN_SAT,"One of the domestic breeds, a bull-dog, and I have been together almost every day for the last year, and every single day the thought goes through my head: if the dog fancies a piece of meat, then I am liable to be cooked"
0.09411719,FINETUNED_GATSBY,"In fact, it was just that much that drove him crazy. He was scared of the officers, because they were so nice and he had to go back to the car to get some food. He had to leave the house. I was sick, and I wanted"
0.09429166,FINETUNED_POS,I should have known better. This movie is more of a film about having fun than the life you live. It's about having fun. I was thinking that it was a film about being funny. And it is. It's a film about living life and
0.094458598,GATSBY_SAT,"A few days later Tom was driving from New York to Chicago and the idea of going into Chicago was like, you can do this? You can do Chicago. Chicago is a place where everything happens now, where theres a sense that everything is happening"
0.094959215,NEG_SAT,"But we must never forget the fact that this movie has a lot of flaws. First of all, the acting is bad, the script is terrible, the direction is bad. The plot, which is very simple and not very original, doesn't really have much"
0.095785901,NEG_REAL,"I was excited to hear that someone had made a documentary on what it was like to be Puerto Rican. When I heard it was Rosie Perez, I wondered..could she possibly know what it is really like to be Puerto Rican. As far as I knew....she was a Nuyorican. Well"
0.096756274,GATSBY_SAT,"In my opinion, this was an instance of nepotism in action. The fact that the woman was woman, which was a most important qualification, was a selling point, a selling point which was originally supposed to have come from the fact that she was a"
0.096761355,NEG_REAL,"In theory, films should be a form of entertainment. While this excludes documentaries and other experimental forms of film-making; most movies, specially genre films, must not only tell it's story or message, they must entertain their target audience in some way. All this just to say that in my opinion"
0.09684396,ORIGIN_REAL,"I have more than once alluded to a large body of facts, which I have collected, showing that when animals and plants are removed from their natural conditions, they are extremely liable to have their reproductive systems seriously affected. This, in fact, is the great bar to the domestication of"
0.09817591,ORIGIN_SAT,"But it is the principle of selection, which is the hidden bond of the order of creation, which most perplexed and perplexed me. I cannot understand, as I cannot understand, why the principle of selection should have been thus acted on by the Creator."
0.098553831,POS_REAL,"This is the last Dutch language film Paul Verhoeven made before going on to make mainstream Hollywood films ""Basic Instinct,"" ""Robocop,"" and ""Total Recall,"" among others. He sets the stage by opening this story with a black widow spider catching prey in her web before we meet Gerard Reve, an"
0.099253918,NEG_REAL,"In my eyes this is almost the perfect example of Hollywood ego, only beaten by the new king kong movie. Superman is the original super hero and deserves to be treated with respect even though he wears tights. Brandon Routh was the worst superman I've ever seen, from the start"
0.101379185,GPT_STANDARD,"When we talk about vaccines, there's this notion that if you have an infection, you should have a vaccine,"" says Dr. Paul Griggs, a microbiologist at Harvard Medical School. ""And if you have a vaccine, you should have a vaccine that"
0.102555224,GPT_STANDARD,"After a few minutes of quiet deliberation, the judge issued a temporary restraining order.  In the video, Officer Rosario can be heard telling the officers to get out of the car, but they can't.  ""You're a cop,"
0.102814439,FINETUNED_GATSBY,"I have to be honest, I don't think I've ever seen a thing like that before. It's amazing. And the big thing is, I'm so grateful to God for that, because I can't stop loving him, because I love him so"
0.10282974,NEG_SAT,"Not that I'm a great fan of either of these movies. I think they're both pretty bad, but this one is a lot worse. The acting is bad, and the script is bad. It's not funny, and it's not interesting. It"
0.103968914,FINETUNED_NEG,"The day after the explosion, they are attacked by a bunch of soldiers and the only one who can save them is the blonde girl, who has a crush on them. Unfortunately, her boyfriend and her lover are killed by the soldiers and are taken to a nearby"
0.104027099,POS_SAT,"I was so excited to see this movie and to see the new technology that was being used to make the movie. It was a great experience. The acting was good, but the story was great. It was a great story. It was a great movie."
0.104159394,FINETUNED_GATSBY,"Now it's all over. It's all over now. I was supposed to say that, but I had to wait for a moment. I was just going to leave. Well, I'll be back. But you have to take care of yourself"
0.104299431,GPT_STANDARD,"If it's the third-best price in the world, it's probably worth the effort.  Budget: $100-200 for 3TB (8GB or 16GB)  Power Supply: 2x USB 3.0 ports  "
0.104628732,GATSBY_SAT,"In two separate incidents, he was tasered three times by Peel police in August 2012 for throwing dustbins on Peel police cruisers and he was arrested for mischief after he tore two garage door handles on Peel police cruisers and was seen throwing dustb"
0.10609235,FINETUNED_POS,"No one who thinks of the band as ""they're just a bunch of rock and roll bands"" would agree with me. I'll say that I was pleasantly surprised by the sheer amount of songs and music that were given to the band, but I found myself"
0.1076936,NEG_SAT,"In two years, the director's ""Avengers"" sequel is expected to be released on July 28, 2019. The first film was released in 2011. It has a 10-day domestic box office total of $1,738.1 million."
0.108150957,POS_REAL,"Not only is this movie a great film for basic cinematography (screenplay, acting, setting, etc.) but also for it's realism. This movie could take place in any farm or rural setting. It makes no difference if the movie takes place in Louisiana or if it would take place in Kansas."
0.108220467,POS_SAT,"When I first saw the trailer for this movie, I had high hopes, and boy was I right! This is a very funny, very funny movie. It's a great movie, and it's a great movie that is very entertaining and very funny. It"
0.108489463,GPT_STANDARD,"One of the most important things that you should know about Ethereum is that it is a decentralized protocol. It is not an exchange, but rather a set of transactions that is open to all. This is a protocol that you can run on your phone, and you"
0.109337208,GATSBY_SAT,"As I waited in line, I was struck by Mrs. Wilson from New Orleans as I passed her on the sidewalk. She was talking intently to her daughter, and as she came up I went out of my way to shake hands with her, knowing just"
0.109500986,FINETUNED_ORIGIN,"It was very important to have been able to go on the trial, as the evidence was extremely thin and circumstantial. I can only speak of one case, which I am sure will be more fully explained in the future. In the district of New York"
